YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,6,4
1947,11,8
1948,0,0
1949,7,6
1950,5,4
1951,5,4
1952,0,0
1953,7,6
1954,8,7
1955,11,9
1956,9,8
1957,11,10
1958,15,13
1959,21,19
1960,13,12
1961,22,20
1962,37,34
1963,23,21
1964,49,45
1965,48,44
1966,39,36
1967,62,58
1968,65,61
1969,57,54
1970,74,70
1971,62,59
1972,55,52
1973,49,47
1974,93,89
1975,82,79
1976,52,50
1977,93,90
1978,146,141
1979,195,189
1980,407,395
1981,466,453
1982,458,446
1983,403,393
1984,359,351
1985,406,397
1986,451,441
1987,442,433
1988,480,471
1989,533,524
1990,567,558
1991,523,515
1992,575,566
1993,607,598
1994,662,653
1995,665,656
1996,692,683
1997,640,633
1998,689,681
1999,877,868
2000,1004,994
2001,1006,997
2002,1002,993
2003,1126,1116
2004,1207,1197
2005,1282,1272
2006,1361,1351
2007,1538,1527
2008,1503,1493
2009,1315,1307
2010,1497,1488
2011,1998,1987
2012,1931,1922
2013,1757,1750
2014,1740,1735
2015,1818,1814
2016,1764,1761
2017,1660,1659
