YOB,Born,Alive
1900,17,0
1901,10,0
1902,8,0
1903,7,0
1904,7,0
1905,0,0
1906,13,0
1907,11,0
1908,12,0
1909,12,0
1910,15,0
1911,14,0
1912,20,0
1913,32,1
1914,26,1
1915,38,1
1916,44,2
1917,44,2
1918,48,3
1919,50,3
1920,57,4
1921,36,4
1922,40,5
1923,50,8
1924,39,8
1925,51,12
1926,50,13
1927,37,11
1928,31,10
1929,39,14
1930,27,10
1931,22,9
1932,25,11
1933,21,10
1934,18,9
1935,22,12
1936,15,8
1937,15,9
1938,20,12
1939,10,6
1940,16,11
1941,8,6
1942,10,7
1943,18,13
1944,8,6
1945,13,10
1946,16,12
1947,16,13
1948,16,13
1949,12,10
1950,12,10
1951,8,7
1952,9,8
1953,5,4
1954,8,7
1955,6,5
1956,11,10
1957,13,12
1958,5,5
1959,12,11
1960,13,12
1961,10,9
1962,11,10
1963,9,8
1964,7,7
1965,9,8
1966,10,9
1967,8,8
1968,0,0
1969,0,0
1970,5,5
1971,5,5
1972,0,0
1973,6,6
1974,0,0
1975,10,10
1976,0,0
1977,8,8
1978,0,0
1979,5,5
1980,7,7
1981,9,9
1982,11,11
1983,5,5
1984,0,0
1985,10,10
1986,11,11
1987,12,12
1988,7,7
1989,5,5
1990,11,11
1991,14,14
1992,8,8
1993,5,5
1994,7,7
1995,0,0
1996,12,12
1997,7,7
1998,12,12
1999,13,13
2000,14,14
2001,12,12
2002,23,23
2003,20,20
2004,18,18
2005,20,20
2006,15,15
2007,22,22
2008,23,23
2009,26,26
2010,32,32
2011,34,34
2012,50,50
2013,80,80
