YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,10,0
1915,8,0
1916,6,0
1917,10,0
1918,8,0
1919,0,0
1920,6,0
1921,9,0
1922,10,1
1923,7,1
1924,6,1
1925,10,2
1926,11,2
1927,8,2
1928,13,3
1929,14,4
1930,9,3
1931,9,3
1932,11,4
1933,9,3
1934,10,4
1935,7,3
1936,8,4
1937,6,3
1938,8,4
1939,10,6
1940,16,10
1941,13,8
1942,11,7
1943,0,0
1944,14,10
1945,9,6
1946,14,10
1947,17,13
1948,17,13
1949,14,11
1950,23,19
1951,19,16
1952,13,11
1953,12,10
1954,13,11
1955,32,28
1956,24,21
1957,35,31
1958,25,22
1959,27,24
1960,23,21
1961,23,21
1962,30,27
1963,28,26
1964,30,28
1965,29,27
1966,30,28
1967,31,29
1968,23,22
1969,28,26
1970,21,20
1971,31,29
1972,17,16
1973,32,31
1974,29,28
1975,26,25
1976,21,20
1977,21,20
1978,23,22
1979,24,23
1980,25,24
1981,28,27
1982,21,20
1983,30,29
1984,17,17
1985,13,13
1986,12,12
1987,12,12
1988,26,26
1989,18,18
1990,25,25
1991,14,14
1992,15,15
1993,20,20
1994,15,15
1995,10,10
1996,12,12
1997,13,13
1998,6,6
1999,12,12
2000,23,23
2001,14,14
2002,18,18
2003,20,20
2004,20,20
2005,32,32
2006,26,26
2007,16,16
2008,11,11
2009,12,12
2010,11,11
2011,22,22
2012,16,16
2013,9,9
2014,10,10
2015,9,9
2016,8,8
2017,9,9
