YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,5,3
1945,7,5
1946,24,18
1947,25,19
1948,24,19
1949,33,26
1950,30,24
1951,38,31
1952,54,45
1953,36,30
1954,47,40
1955,57,49
1956,62,54
1957,47,41
1958,109,97
1959,104,93
1960,102,92
1961,147,134
1962,118,108
1963,161,148
1964,199,183
1965,182,169
1966,112,104
1967,119,111
1968,134,126
1969,138,130
1970,230,218
1971,265,252
1972,261,248
1973,268,256
1974,301,288
1975,346,332
1976,377,363
1977,405,391
1978,430,416
1979,488,473
1980,478,464
1981,455,443
1982,455,443
1983,462,451
1984,464,453
1985,549,537
1986,638,624
1987,694,680
1988,643,631
1989,725,712
1990,740,728
1991,577,568
1992,643,633
1993,699,689
1994,699,689
1995,662,653
1996,668,660
1997,632,625
1998,658,651
1999,635,629
2000,599,593
2001,607,601
2002,647,641
2003,675,669
2004,658,653
2005,652,647
2006,668,663
2007,595,591
2008,654,650
2009,642,638
2010,587,583
2011,620,617
2012,554,551
2013,498,496
2014,494,492
2015,418,417
2016,355,354
2017,323,323
