YOB,Born,Alive
1900,6,0
1901,5,0
1902,9,0
1903,5,0
1904,8,0
1905,8,0
1906,7,0
1907,7,0
1908,5,0
1909,5,0
1910,7,0
1911,10,0
1912,11,0
1913,17,0
1914,18,0
1915,19,0
1916,19,0
1917,17,0
1918,21,0
1919,22,1
1920,30,1
1921,26,1
1922,15,1
1923,21,2
1924,22,3
1925,16,3
1926,15,3
1927,17,4
1928,17,4
1929,14,4
1930,14,4
1931,20,6
1932,12,4
1933,13,5
1934,16,7
1935,13,6
1936,15,7
1937,16,8
1938,18,10
1939,11,6
1940,13,8
1941,9,6
1942,18,12
1943,21,14
1944,12,8
1945,11,8
1946,13,10
1947,10,8
1948,14,11
1949,11,9
1950,10,8
1951,14,12
1952,9,7
1953,9,8
1954,5,4
1955,11,9
1956,14,12
1957,11,10
1958,16,14
1959,14,13
1960,8,7
1961,13,12
1962,0,0
1963,5,5
1964,9,8
1965,0,0
1966,8,7
1967,6,6
1968,5,5
1969,0,0
1970,0,0
1971,7,7
1972,6,6
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,5,5
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,5,5
1988,0,0
1989,0,0
1990,0,0
1991,6,6
1992,5,5
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,5,5
2000,0,0
2001,5,5
2002,0,0
2003,6,6
2004,0,0
2005,0,0
2006,6,6
2007,0,0
2008,0,0
2009,6,6
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
