YOB,Born,Alive
1900,176,0
1901,184,0
1902,163,0
1903,202,0
1904,190,0
1905,209,0
1906,215,0
1907,242,0
1908,277,0
1909,291,0
1910,338,0
1911,381,1
1912,540,3
1913,562,5
1914,720,8
1915,1116,16
1916,1339,24
1917,1573,32
1918,1482,35
1919,1504,40
1920,1934,57
1921,1924,106
1922,1762,142
1923,1869,198
1924,1853,244
1925,1764,278
1926,1617,296
1927,1629,340
1928,1725,404
1929,1977,514
1930,2184,624
1931,2079,662
1932,2098,736
1933,1904,730
1934,1784,742
1935,1932,867
1936,2304,1109
1937,2711,1393
1938,2638,1441
1939,2588,1498
1940,2827,1729
1941,2741,1732
1942,2998,1955
1943,2951,1984
1944,2826,1958
1945,2766,1972
1946,4027,2953
1947,4187,3156
1948,3615,2798
1949,3590,2852
1950,3569,2908
1951,3786,3119
1952,4134,3443
1953,4405,3708
1954,4408,3750
1955,4722,4060
1956,5500,4779
1957,5813,5103
1958,5773,5120
1959,5477,4907
1960,5638,5102
1961,5500,5000
1962,5516,5038
1963,5470,5019
1964,4906,4522
1965,4021,3723
1966,3870,3600
1967,3516,3285
1968,3044,2857
1969,2917,2750
1970,2894,2740
1971,2682,2546
1972,2232,2125
1973,1987,1896
1974,1936,1852
1975,1720,1650
1976,1508,1450
1977,1513,1459
1978,1221,1180
1979,1139,1104
1980,1152,1119
1981,1055,1026
1982,1010,984
1983,899,877
1984,863,843
1985,737,721
1986,745,729
1987,737,722
1988,715,702
1989,678,666
1990,643,632
1991,580,571
1992,547,539
1993,491,484
1994,438,432
1995,400,395
1996,394,389
1997,407,402
1998,350,346
1999,321,318
2000,314,311
2001,297,294
2002,266,264
2003,245,243
2004,266,264
2005,223,221
2006,212,210
2007,210,209
2008,237,235
2009,199,198
2010,173,172
2011,181,180
2012,151,150
2013,148,147
2014,164,163
2015,147,147
2016,173,173
2017,185,185
