YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,6,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,6,0
1918,9,0
1919,9,0
1920,6,0
1921,10,1
1922,0,0
1923,9,1
1924,6,1
1925,0,0
1926,6,1
1927,5,1
1928,7,2
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,5,2
1934,6,2
1935,6,3
1936,0,0
1937,5,3
1938,0,0
1939,5,3
1940,7,4
1941,0,0
1942,6,4
1943,8,5
1944,9,6
1945,7,5
1946,6,4
1947,8,6
1948,8,6
1949,14,11
1950,15,12
1951,10,8
1952,9,7
1953,17,14
1954,13,11
1955,14,12
1956,8,7
1957,6,5
1958,7,6
1959,10,9
1960,7,6
1961,6,5
1962,0,0
1963,9,8
1964,9,8
1965,6,6
1966,6,6
1967,0,0
1968,6,6
1969,0,0
1970,5,5
1971,0,0
1972,0,0
1973,5,5
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,8,8
2009,8,8
2010,9,9
2011,0,0
2012,7,7
2013,8,8
2014,21,21
2015,15,15
2016,18,18
2017,12,12
