YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,6,5
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,5,5
1978,5,5
1979,5,5
1980,0,0
1981,6,6
1982,13,13
1983,38,37
1984,41,40
1985,46,45
1986,93,91
1987,329,322
1988,267,261
1989,225,221
1990,241,237
1991,282,277
1992,261,257
1993,248,244
1994,246,242
1995,241,238
1996,235,232
1997,199,196
1998,231,228
1999,247,244
2000,252,249
2001,301,298
2002,297,294
2003,312,309
2004,372,369
2005,417,413
2006,1232,1222
2007,862,855
2008,796,790
2009,793,788
2010,914,908
2011,924,918
2012,1293,1285
2013,1108,1102
2014,1185,1179
2015,1201,1195
2016,1237,1231
2017,1357,1350
2018,1582,1575
2019,1739,1731
2020,2006,1998
