YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,6,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,6,1
1929,0,0
1930,7,2
1931,10,3
1932,6,2
1933,5,2
1934,0,0
1935,7,3
1936,9,4
1937,8,4
1938,12,7
1939,6,3
1940,13,8
1941,11,7
1942,8,5
1943,12,8
1944,11,8
1945,6,4
1946,12,9
1947,10,8
1948,9,7
1949,15,12
1950,9,7
1951,15,12
1952,7,6
1953,9,8
1954,7,6
1955,14,12
1956,9,8
1957,8,7
1958,14,12
1959,12,11
1960,14,13
1961,15,14
1962,7,6
1963,20,18
1964,16,15
1965,10,9
1966,11,10
1967,9,8
1968,0,0
1969,0,0
1970,9,9
1971,10,9
1972,0,0
1973,0,0
1974,6,6
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,6,6
1987,0,0
1988,0,0
1989,5,5
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
