YOB,Born,Alive
1900,14,0
1901,6,0
1902,10,0
1903,10,0
1904,5,0
1905,14,0
1906,13,0
1907,9,0
1908,16,0
1909,11,0
1910,19,0
1911,23,0
1912,20,0
1913,29,0
1914,21,0
1915,37,0
1916,26,0
1917,30,0
1918,34,0
1919,47,0
1920,39,0
1921,37,1
1922,46,2
1923,37,2
1924,35,3
1925,49,5
1926,33,4
1927,30,4
1928,33,5
1929,19,3
1930,19,4
1931,20,4
1932,28,7
1933,22,6
1934,29,10
1935,22,8
1936,21,8
1937,22,10
1938,15,7
1939,13,7
1940,24,13
1941,19,11
1942,30,18
1943,14,9
1944,15,9
1945,19,12
1946,21,14
1947,14,10
1948,18,13
1949,14,11
1950,13,10
1951,13,10
1952,22,18
1953,10,8
1954,6,5
1955,11,9
1956,11,9
1957,0,0
1958,9,8
1959,11,10
1960,8,7
1961,6,5
1962,7,6
1963,5,5
1964,7,6
1965,0,0
1966,7,6
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
