YOB,Born,Alive
1900,9,0
1901,8,0
1902,6,0
1903,13,0
1904,10,0
1905,9,0
1906,15,0
1907,11,0
1908,9,0
1909,23,0
1910,20,0
1911,9,0
1912,21,0
1913,25,0
1914,27,0
1915,37,0
1916,24,0
1917,40,0
1918,52,0
1919,37,0
1920,62,1
1921,77,2
1922,84,4
1923,83,5
1924,82,7
1925,102,10
1926,84,10
1927,62,8
1928,55,8
1929,52,9
1930,47,9
1931,51,11
1932,31,8
1933,35,10
1934,22,7
1935,32,12
1936,7,3
1937,26,11
1938,20,9
1939,15,8
1940,12,6
1941,13,7
1942,11,6
1943,16,10
1944,9,6
1945,16,11
1946,12,8
1947,14,10
1948,11,8
1949,19,14
1950,12,9
1951,13,10
1952,16,13
1953,15,12
1954,11,9
1955,16,13
1956,11,9
1957,14,12
1958,14,12
1959,10,9
1960,11,10
1961,8,7
1962,9,8
1963,11,10
1964,5,5
1965,7,6
1966,7,6
1967,7,6
1968,8,7
1969,14,13
1970,14,13
1971,6,6
1972,17,16
1973,13,12
1974,15,14
1975,23,22
1976,18,17
1977,22,21
1978,13,13
1979,6,6
1980,9,9
1981,10,10
1982,15,15
1983,17,17
1984,15,15
1985,10,10
1986,8,8
1987,6,6
1988,8,8
1989,7,7
1990,10,10
1991,24,24
1992,24,24
1993,20,20
1994,18,18
1995,26,26
1996,11,11
1997,16,16
1998,8,8
1999,14,14
2000,15,15
2001,18,18
2002,15,15
2003,15,15
2004,15,15
2005,23,23
2006,16,16
2007,20,20
2008,18,18
2009,10,10
2010,24,24
2011,17,17
2012,36,36
2013,32,32
2014,36,36
2015,41,41
2016,40,40
2017,38,38
2018,50,50
2019,66,66
2020,65,65
