YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,6,0
1914,5,0
1915,0,0
1916,7,0
1917,6,0
1918,7,0
1919,9,1
1920,12,1
1921,6,1
1922,5,1
1923,10,2
1924,5,1
1925,8,2
1926,7,2
1927,8,2
1928,17,5
1929,15,5
1930,18,7
1931,9,4
1932,26,11
1933,20,9
1934,16,8
1935,11,6
1936,14,8
1937,11,6
1938,10,6
1939,11,7
1940,8,5
1941,10,7
1942,14,10
1943,10,7
1944,10,7
1945,14,11
1946,17,13
1947,26,21
1948,22,18
1949,17,14
1950,11,9
1951,11,9
1952,14,12
1953,14,12
1954,14,12
1955,6,5
1956,15,13
1957,11,10
1958,8,7
1959,5,5
1960,5,5
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,5,5
1978,0,0
1979,6,6
1980,0,0
1981,5,5
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,5,5
