YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,5,3
1941,0,0
1942,11,7
1943,8,5
1944,0,0
1945,6,4
1946,7,5
1947,5,4
1948,6,5
1949,0,0
1950,6,5
1951,7,6
1952,10,8
1953,6,5
1954,0,0
1955,0,0
1956,0,0
1957,6,5
1958,8,7
1959,10,9
1960,5,5
1961,6,5
1962,12,11
1963,6,6
1964,11,10
1965,6,6
1966,0,0
1967,6,6
1968,0,0
1969,5,5
1970,0,0
1971,6,6
1972,5,5
1973,5,5
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,5,5
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,5,5
1990,7,7
1991,0,0
1992,0,0
1993,0,0
1994,9,9
1995,0,0
1996,5,5
1997,0,0
1998,6,6
1999,0,0
2000,6,6
2001,0,0
2002,0,0
2003,0,0
2004,5,5
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,5,5
2013,0,0
2014,0,0
2015,0,0
2016,5,5
2017,0,0
