YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,6,4
1940,12,8
1941,13,9
1942,32,23
1943,24,17
1944,24,18
1945,27,21
1946,45,35
1947,74,59
1948,97,79
1949,153,127
1950,173,146
1951,181,155
1952,197,170
1953,189,164
1954,219,192
1955,206,182
1956,259,230
1957,255,229
1958,279,252
1959,308,280
1960,266,244
1961,312,287
1962,289,267
1963,294,273
1964,344,321
1965,492,460
1966,387,363
1967,274,258
1968,319,302
1969,373,354
1970,361,344
1971,369,352
1972,281,269
1973,295,283
1974,283,272
1975,269,259
1976,280,270
1977,311,301
1978,362,351
1979,259,252
1980,252,246
1981,234,228
1982,186,182
1983,155,152
1984,146,143
1985,154,151
1986,195,191
1987,196,192
1988,223,219
1989,133,131
1990,118,116
1991,121,119
1992,82,81
1993,80,79
1994,89,88
1995,58,57
1996,59,58
1997,56,55
1998,54,53
1999,32,32
2000,42,42
2001,34,34
2002,27,27
2003,34,34
2004,33,33
2005,33,33
2006,15,15
2007,18,18
2008,16,16
2009,14,14
2010,12,12
2011,18,18
2012,13,13
2013,17,17
