YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,5,5
1970,12,11
1971,16,15
1972,32,31
1973,28,27
1974,36,35
1975,54,52
1976,62,60
1977,72,70
1978,102,99
1979,107,104
1980,131,128
1981,157,153
1982,218,213
1983,358,350
1984,406,397
1985,416,408
1986,371,364
1987,395,388
1988,405,398
1989,482,474
1990,521,513
1991,610,601
1992,725,715
1993,1027,1013
1994,2305,2276
1995,3043,3007
1996,2844,2812
1997,3142,3109
1998,3045,3015
1999,3395,3364
2000,3162,3135
2001,3029,3004
2002,2633,2612
2003,2234,2217
2004,2005,1990
2005,1832,1819
2006,1770,1758
2007,1652,1641
2008,1486,1477
2009,1354,1346
2010,1285,1278
2011,1119,1113
2012,1134,1128
2013,1264,1258
