YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,5,4
1958,8,7
1959,7,6
1960,6,6
1961,9,8
1962,9,8
1963,18,17
1964,8,7
1965,11,10
1966,6,6
1967,15,14
1968,5,5
1969,12,11
1970,6,6
1971,11,11
1972,12,11
1973,7,7
1974,11,11
1975,0,0
1976,7,7
1977,6,6
1978,10,10
1979,9,9
1980,5,5
1981,9,9
1982,5,5
1983,6,6
1984,6,6
1985,8,8
1986,7,7
1987,6,6
1988,8,8
1989,13,13
1990,5,5
1991,7,7
1992,9,9
1993,6,6
1994,0,0
1995,7,7
1996,5,5
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,9,9
2002,0,0
2003,5,5
