YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,5,5
1960,7,6
1961,8,7
1962,8,7
1963,0,0
1964,5,5
1965,12,11
1966,9,8
1967,8,8
1968,10,9
1969,13,12
1970,16,15
1971,13,12
1972,11,11
1973,12,12
1974,10,10
1975,17,16
1976,7,7
1977,10,10
1978,14,14
1979,10,10
1980,8,8
1981,7,7
1982,11,11
1983,11,11
1984,18,18
1985,17,17
1986,11,11
1987,9,9
1988,27,27
1989,33,32
1990,31,31
1991,26,26
1992,14,14
1993,11,11
1994,15,15
1995,16,16
1996,17,17
1997,13,13
1998,14,14
1999,7,7
2000,12,12
2001,14,14
2002,0,0
2003,8,8
2004,6,6
2005,6,6
2006,10,10
2007,9,9
2008,0,0
2009,5,5
