YOB,Born,Alive
1900,24,0
1901,17,0
1902,28,0
1903,18,0
1904,30,0
1905,20,0
1906,24,0
1907,25,0
1908,20,0
1909,26,0
1910,35,0
1911,23,0
1912,42,0
1913,30,0
1914,41,0
1915,35,0
1916,49,0
1917,47,0
1918,62,0
1919,54,0
1920,51,0
1921,46,1
1922,62,3
1923,41,3
1924,48,4
1925,40,4
1926,32,4
1927,28,4
1928,30,5
1929,23,4
1930,30,6
1931,26,6
1932,25,6
1933,25,7
1934,32,11
1935,21,8
1936,29,12
1937,39,17
1938,28,13
1939,22,11
1940,24,13
1941,22,12
1942,24,14
1943,28,17
1944,13,8
1945,21,14
1946,23,16
1947,17,12
1948,21,15
1949,10,8
1950,16,12
1951,12,9
1952,19,15
1953,17,14
1954,22,18
1955,23,19
1956,28,24
1957,22,19
1958,30,26
1959,30,26
1960,33,29
1961,32,29
1962,41,37
1963,42,38
1964,48,44
1965,36,33
1966,38,35
1967,43,40
1968,58,54
1969,75,70
1970,110,103
1971,115,108
1972,136,129
1973,151,143
1974,193,184
1975,224,214
1976,332,318
1977,333,320
1978,312,300
1979,274,264
1980,209,202
1981,230,223
1982,231,224
1983,193,188
1984,193,188
1985,196,191
1986,210,205
1987,140,137
1988,128,125
1989,145,142
1990,130,128
1991,135,133
1992,127,125
1993,116,114
1994,107,105
1995,93,92
1996,64,63
1997,72,71
1998,78,77
1999,70,69
2000,50,49
2001,46,46
2002,32,32
2003,38,38
2004,44,44
2005,30,30
2006,26,26
2007,19,19
2008,29,29
2009,35,35
2010,21,21
2011,15,15
2012,23,23
2013,29,29
2014,20,20
2015,40,40
2016,43,43
2017,30,30
2018,39,39
2019,45,45
2020,43,43
