YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,6,0
1922,5,0
1923,0,0
1924,0,0
1925,10,1
1926,0,0
1927,8,1
1928,6,1
1929,14,2
1930,12,2
1931,6,1
1932,8,2
1933,7,2
1934,11,4
1935,17,6
1936,9,4
1937,6,3
1938,17,8
1939,7,4
1940,14,8
1941,13,7
1942,17,10
1943,12,7
1944,10,6
1945,15,10
1946,18,12
1947,21,15
1948,12,9
1949,16,12
1950,18,14
1951,17,13
1952,23,18
1953,13,11
1954,17,14
1955,27,22
1956,38,32
1957,39,33
1958,47,41
1959,33,29
1960,38,34
1961,26,23
1962,31,28
1963,33,30
1964,30,27
1965,24,22
1966,24,22
1967,19,18
1968,12,11
1969,8,7
1970,16,15
1971,8,8
1972,15,14
1973,6,6
1974,5,5
1975,8,8
1976,0,0
1977,0,0
1978,7,7
1979,5,5
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
