YOB,Born,Alive
1900,0,0
1901,9,0
1902,8,0
1903,8,0
1904,11,0
1905,6,0
1906,6,0
1907,12,0
1908,14,0
1909,18,0
1910,19,0
1911,20,0
1912,30,0
1913,50,0
1914,81,0
1915,89,0
1916,131,1
1917,170,1
1918,181,1
1919,229,2
1920,274,3
1921,384,11
1922,423,19
1923,493,31
1924,638,52
1925,742,74
1926,875,103
1927,1109,150
1928,1186,182
1929,1301,223
1930,1544,293
1931,1822,409
1932,2019,524
1933,2408,708
1934,2605,857
1935,2702,983
1936,2963,1182
1937,3285,1424
1938,3321,1556
1939,3287,1654
1940,3120,1679
1941,3346,1880
1942,3515,2058
1943,3774,2300
1944,3532,2236
1945,3626,2381
1946,4662,3172
1947,5255,3700
1948,4693,3416
1949,4797,3605
1950,4832,3746
1951,5029,3956
1952,5429,4332
1953,5589,4523
1954,5514,4524
1955,5642,4693
1956,6917,5832
1957,7782,6649
1958,8274,7163
1959,6873,6027
1960,6100,5418
1961,5726,5116
1962,5106,4588
1963,5155,4659
1964,5170,4699
1965,4359,3985
1966,3728,3427
1967,3069,2837
1968,2658,2471
1969,2459,2299
1970,2176,2046
1971,1824,1720
1972,1416,1339
1973,1163,1103
1974,1020,970
1975,905,863
1976,827,791
1977,773,742
1978,718,691
1979,667,644
1980,653,632
1981,639,619
1982,583,566
1983,527,512
1984,459,447
1985,472,460
1986,451,440
1987,442,432
1988,480,470
1989,480,471
1990,506,497
1991,468,460
1992,378,372
1993,370,364
1994,344,339
1995,272,268
1996,283,279
1997,249,246
1998,256,253
1999,224,221
2000,273,270
2001,265,262
2002,251,249
2003,203,201
2004,236,234
2005,225,223
2006,244,242
2007,223,221
2008,236,234
2009,213,212
2010,208,207
2011,195,194
2012,216,215
2013,187,186
2014,171,170
2015,159,158
2016,144,143
2017,145,144
2018,134,133
2019,122,121
2020,110,110
