YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,5,1
1933,5,1
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,6,3
1942,5,3
1943,6,4
1944,0,0
1945,10,7
1946,8,5
1947,0,0
1948,10,7
1949,0,0
1950,0,0
1951,8,6
1952,8,6
1953,12,10
1954,7,6
1955,16,13
1956,11,9
1957,5,4
1958,5,4
1959,8,7
1960,9,8
1961,8,7
1962,18,16
1963,14,13
1964,11,10
1965,17,16
1966,12,11
1967,11,10
1968,22,20
1969,19,18
1970,17,16
1971,15,14
1972,23,22
1973,10,9
1974,8,8
1975,11,10
1976,9,9
1977,17,16
1978,12,12
1979,9,9
1980,17,16
1981,8,8
1982,7,7
1983,10,10
1984,9,9
1985,5,5
1986,0,0
1987,10,10
1988,9,9
1989,12,12
1990,10,10
1991,5,5
1992,12,12
1993,12,12
1994,5,5
1995,5,5
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
