YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,6,0
1916,8,0
1917,0,0
1918,5,0
1919,0,0
1920,0,0
1921,0,0
1922,9,1
1923,0,0
1924,9,1
1925,0,0
1926,0,0
1927,6,1
1928,0,0
1929,0,0
1930,5,1
1931,5,2
1932,0,0
1933,6,2
1934,6,2
1935,10,4
1936,0,0
1937,7,4
1938,9,5
1939,12,7
1940,13,8
1941,16,10
1942,8,5
1943,19,13
1944,24,17
1945,25,18
1946,32,23
1947,73,55
1948,118,91
1949,185,147
1950,342,279
1951,639,526
1952,805,670
1953,919,774
1954,1239,1054
1955,2064,1775
1956,2327,2022
1957,2368,2079
1958,2250,1995
1959,1963,1759
1960,1553,1405
1961,1384,1258
1962,1136,1038
1963,1118,1026
1964,960,885
1965,880,815
1966,821,764
1967,677,633
1968,581,545
1969,523,493
1970,394,373
1971,298,283
1972,207,197
1973,207,198
1974,149,143
1975,116,111
1976,107,103
1977,93,90
1978,80,77
1979,67,65
1980,68,66
1981,66,64
1982,69,67
1983,44,43
1984,58,57
1985,58,57
1986,52,51
1987,57,56
1988,47,46
1989,68,67
1990,65,64
1991,62,61
1992,62,61
1993,42,41
1994,60,59
1995,52,51
1996,72,71
1997,39,39
1998,59,58
1999,69,68
2000,63,62
2001,55,54
2002,71,70
2003,62,61
2004,69,68
2005,73,72
2006,57,57
2007,72,71
2008,86,85
2009,79,78
2010,91,90
2011,69,69
2012,100,100
2013,87,87
2014,87,87
2015,79,79
2016,93,93
2017,97,97
