YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,5,2
1934,7,3
1935,5,2
1936,6,3
1937,5,3
1938,5,3
1939,0,0
1940,7,4
1941,6,4
1942,8,5
1943,7,5
1944,26,18
1945,62,44
1946,78,57
1947,108,81
1948,130,101
1949,141,112
1950,150,122
1951,138,114
1952,118,98
1953,127,107
1954,96,82
1955,129,111
1956,165,143
1957,192,169
1958,167,148
1959,237,212
1960,339,307
1961,455,414
1962,539,492
1963,542,497
1964,483,445
1965,389,360
1966,424,394
1967,380,355
1968,399,374
1969,415,391
1970,506,479
1971,376,357
1972,264,251
1973,291,278
1974,275,263
1975,271,260
1976,255,245
1977,283,273
1978,282,273
1979,316,306
1980,322,313
1981,277,269
1982,285,278
1983,307,299
1984,319,311
1985,344,336
1986,366,358
1987,367,360
1988,275,270
1989,214,210
1990,193,190
1991,283,279
1992,357,352
1993,208,205
1994,148,146
1995,131,129
1996,95,94
1997,103,102
1998,58,57
1999,71,70
2000,47,47
2001,46,46
2002,31,31
2003,36,36
2004,30,30
2005,20,20
2006,28,28
2007,15,15
2008,11,11
2009,11,11
2010,8,8
2011,12,12
2012,6,6
2013,0,0
2014,7,7
2015,6,6
2016,5,5
2017,0,0
