YOB,Born,Alive
1900,2491,0
1901,2173,0
1902,2707,0
1903,3078,0
1904,3477,0
1905,3937,0
1906,4326,0
1907,4967,0
1908,5703,0
1909,6253,0
1910,7318,0
1911,8869,9
1912,12645,25
1913,14674,43
1914,18782,73
1915,25154,122
1916,27418,160
1917,28852,196
1918,32030,248
1919,31734,277
1920,36643,355
1921,39087,1082
1922,37715,1723
1923,39043,2486
1924,39999,3266
1925,38570,3844
1926,36617,4308
1927,35989,4882
1928,33732,5182
1929,31479,5403
1930,30409,5766
1931,26526,5954
1932,24975,6477
1933,22049,6487
1934,21284,7003
1935,19404,7061
1936,17668,7045
1937,16571,7185
1938,16352,7660
1939,15172,7636
1940,14874,8005
1941,14568,8186
1942,15029,8801
1943,14793,9014
1944,13381,8471
1945,12326,8095
1946,12796,8707
1947,12750,8978
1948,11323,8242
1949,10409,7823
1950,9550,7404
1951,9090,7150
1952,8610,6870
1953,8160,6603
1954,7794,6395
1955,7239,6021
1956,6853,5778
1957,6407,5474
1958,5539,4795
1959,5233,4589
1960,5076,4509
1961,4728,4224
1962,4072,3659
1963,3795,3430
1964,3534,3212
1965,2960,2706
1966,2666,2451
1967,2316,2141
1968,2085,1938
1969,1776,1660
1970,1799,1691
1971,1623,1530
1972,1273,1204
1973,1174,1113
1974,1099,1045
1975,974,929
1976,983,941
1977,934,896
1978,913,879
1979,890,859
1980,895,866
1981,788,764
1982,829,805
1983,759,738
1984,681,663
1985,719,701
1986,630,615
1987,614,600
1988,608,595
1989,620,608
1990,596,585
1991,497,488
1992,510,502
1993,476,469
1994,442,435
1995,377,372
1996,350,345
1997,316,312
1998,312,308
1999,335,331
2000,314,311
2001,319,316
2002,264,261
2003,292,289
2004,289,286
2005,237,235
2006,266,264
2007,262,260
2008,244,242
2009,227,225
2010,242,240
2011,278,276
2012,279,277
2013,335,333
2014,385,383
2015,397,395
2016,454,452
2017,506,504
2018,523,521
2019,543,541
2020,559,557
