YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,5,0
1915,0,0
1916,7,0
1917,8,0
1918,10,0
1919,0,0
1920,7,0
1921,6,0
1922,6,0
1923,9,1
1924,0,0
1925,11,2
1926,9,2
1927,9,2
1928,7,2
1929,8,2
1930,7,2
1931,6,2
1932,10,4
1933,6,2
1934,0,0
1935,9,4
1936,0,0
1937,8,4
1938,8,4
1939,7,4
1940,7,4
1941,9,6
1942,7,5
1943,8,5
1944,10,7
1945,10,7
1946,8,6
1947,15,11
1948,15,12
1949,13,10
1950,14,11
1951,15,12
1952,15,12
1953,7,6
1954,12,10
1955,15,13
1956,9,8
1957,9,8
1958,8,7
1959,12,11
1960,7,6
1961,9,8
1962,5,5
1963,0,0
1964,0,0
1965,6,6
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,9,9
1993,5,5
1994,5,5
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
