YOB,Born,Alive
1900,1911,0
1901,1435,0
1902,1525,0
1903,1419,0
1904,1432,0
1905,1438,0
1906,1343,0
1907,1451,0
1908,1428,0
1909,1382,0
1910,1587,0
1911,1604,2
1912,1921,4
1913,2071,6
1914,2308,9
1915,2954,14
1916,2965,17
1917,3054,21
1918,3290,26
1919,3158,28
1920,3232,31
1921,3237,90
1922,3150,144
1923,2995,191
1924,3061,250
1925,3006,300
1926,2852,336
1927,2843,386
1928,2670,410
1929,2473,424
1930,2405,456
1931,2162,485
1932,2256,585
1933,2028,597
1934,2070,681
1935,1900,691
1936,1838,733
1937,1747,758
1938,1728,810
1939,1829,921
1940,1670,899
1941,1697,954
1942,1659,972
1943,1663,1013
1944,1573,996
1945,1472,967
1946,1499,1020
1947,1636,1152
1948,1554,1131
1949,1552,1166
1950,1380,1070
1951,1363,1072
1952,1245,993
1953,1162,940
1954,1098,901
1955,1125,936
1956,989,834
1957,969,828
1958,839,726
1959,867,760
1960,747,664
1961,713,637
1962,631,567
1963,597,540
1964,565,514
1965,478,437
1966,429,394
1967,383,354
1968,314,292
1969,320,299
1970,324,305
1971,258,243
1972,206,195
1973,225,213
1974,212,202
1975,183,175
1976,182,174
1977,164,157
1978,173,167
1979,172,166
1980,174,168
1981,181,175
1982,179,174
1983,156,152
1984,138,134
1985,146,142
1986,127,124
1987,128,125
1988,183,179
1989,165,162
1990,236,232
1991,216,212
1992,228,224
1993,266,262
1994,314,309
1995,309,305
1996,383,378
1997,499,493
1998,657,649
1999,778,769
2000,1225,1212
2001,1719,1701
2002,3562,3527
2003,5905,5850
2004,8243,8169
2005,9067,8990
2006,9209,9135
2007,9546,9473
2008,9355,9287
2009,9654,9588
2010,9879,9816
2011,9593,9534
2012,9207,9152
2013,8454,8406
2014,8560,8513
2015,7909,7868
2016,7926,7886
2017,8068,8029
2018,8103,8066
2019,8098,8063
2020,7303,7273
