YOB,Born,Alive
1900,15,0
1901,13,0
1902,12,0
1903,9,0
1904,8,0
1905,16,0
1906,89,0
1907,52,0
1908,27,0
1909,33,0
1910,28,0
1911,31,0
1912,31,0
1913,39,1
1914,37,1
1915,48,2
1916,43,2
1917,40,2
1918,42,2
1919,36,2
1920,57,4
1921,43,4
1922,46,6
1923,37,6
1924,41,8
1925,48,11
1926,41,11
1927,33,10
1928,38,12
1929,43,15
1930,25,10
1931,25,10
1932,28,12
1933,20,9
1934,22,11
1935,17,9
1936,17,9
1937,19,11
1938,20,12
1939,18,12
1940,16,11
1941,9,6
1942,10,7
1943,22,16
1944,12,9
1945,12,9
1946,15,12
1947,13,10
1948,19,15
1949,14,12
1950,10,8
1951,20,17
1952,13,11
1953,16,14
1954,22,19
1955,20,18
1956,20,18
1957,24,22
1958,20,18
1959,29,26
1960,25,23
1961,18,17
1962,20,18
1963,22,20
1964,22,20
1965,22,21
1966,30,28
1967,24,23
1968,28,26
1969,33,31
1970,40,38
1971,30,29
1972,39,37
1973,33,32
1974,25,24
1975,22,21
1976,32,31
1977,26,25
1978,22,21
1979,18,18
1980,20,19
1981,28,27
1982,19,19
1983,21,21
1984,13,13
1985,15,15
1986,9,9
1987,19,19
1988,12,12
1989,20,20
1990,13,13
1991,20,20
1992,20,20
1993,12,12
1994,17,17
1995,16,16
1996,13,13
1997,14,14
1998,22,22
1999,24,24
2000,24,24
2001,23,23
2002,34,34
2003,28,28
2004,40,40
2005,27,27
2006,31,31
2007,33,33
2008,29,29
2009,20,20
2010,29,29
2011,31,31
2012,33,33
2013,46,46
