YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,6,2
1932,0,0
1933,5,2
1934,0,0
1935,0,0
1936,0,0
1937,5,3
1938,7,4
1939,5,3
1940,0,0
1941,7,4
1942,8,5
1943,7,5
1944,8,6
1945,8,6
1946,15,11
1947,13,10
1948,18,14
1949,17,14
1950,17,14
1951,21,17
1952,14,12
1953,21,18
1954,22,19
1955,13,11
1956,15,13
1957,21,18
1958,20,18
1959,16,14
1960,21,19
1961,17,15
1962,17,16
1963,17,16
1964,13,12
1965,11,10
1966,0,0
1967,22,21
1968,11,10
1969,11,10
1970,13,12
1971,10,9
1972,8,8
1973,19,18
1974,16,15
1975,11,11
1976,15,14
1977,17,16
1978,10,10
1979,9,9
1980,12,12
1981,10,10
1982,8,8
1983,0,0
1984,0,0
1985,0,0
1986,10,10
1987,7,7
1988,0,0
1989,9,9
1990,0,0
1991,8,8
1992,7,7
1993,9,9
1994,6,6
1995,0,0
1996,0,0
1997,6,6
1998,5,5
1999,0,0
2000,7,7
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,7,7
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
