YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,5,0
1906,0,0
1907,0,0
1908,8,0
1909,5,0
1910,6,0
1911,0,0
1912,10,0
1913,6,0
1914,14,0
1915,5,0
1916,10,0
1917,7,0
1918,12,1
1919,10,1
1920,5,0
1921,8,1
1922,5,1
1923,11,2
1924,11,2
1925,10,2
1926,9,2
1927,14,4
1928,9,3
1929,15,5
1930,6,2
1931,8,3
1932,13,6
1933,9,4
1934,5,2
1935,7,4
1936,5,3
1937,9,5
1938,8,5
1939,7,5
1940,9,6
1941,7,5
1942,0,0
1943,10,7
1944,6,4
1945,7,5
1946,8,6
1947,9,7
1948,12,10
1949,13,11
1950,14,12
1951,12,10
1952,0,0
1953,8,7
1954,7,6
1955,8,7
1956,11,10
1957,7,6
1958,11,10
1959,7,6
1960,6,6
1961,5,5
1962,8,7
1963,7,6
1964,5,5
1965,5,5
1966,6,6
1967,0,0
1968,5,5
1969,8,8
1970,0,0
1971,7,7
1972,8,8
1973,0,0
1974,5,5
1975,6,6
1976,6,6
1977,6,6
1978,0,0
1979,6,6
1980,0,0
1981,6,6
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,21,21
1987,7,7
1988,0,0
1989,0,0
1990,0,0
1991,9,9
