YOB,Born,Alive
1900,33,0
1901,29,0
1902,21,0
1903,32,0
1904,27,0
1905,19,0
1906,39,0
1907,20,0
1908,35,0
1909,39,0
1910,35,0
1911,47,0
1912,67,0
1913,79,0
1914,91,0
1915,126,1
1916,113,1
1917,156,1
1918,174,1
1919,152,1
1920,164,2
1921,190,5
1922,219,10
1923,222,14
1924,232,19
1925,225,22
1926,225,26
1927,216,29
1928,212,33
1929,199,34
1930,231,44
1931,261,59
1932,340,88
1933,330,97
1934,325,107
1935,301,110
1936,354,141
1937,339,147
1938,327,153
1939,383,193
1940,371,200
1941,463,260
1942,571,334
1943,570,347
1944,447,283
1945,424,278
1946,436,297
1947,459,323
1948,400,291
1949,387,291
1950,457,354
1951,588,463
1952,602,480
1953,604,489
1954,676,555
1955,800,665
1956,779,657
1957,827,707
1958,786,680
1959,839,736
1960,873,775
1961,783,700
1962,729,655
1963,795,719
1964,805,732
1965,708,647
1966,654,601
1967,594,549
1968,533,496
1969,524,490
1970,549,516
1971,530,500
1972,526,497
1973,510,484
1974,542,516
1975,557,531
1976,637,610
1977,802,770
1978,840,808
1979,860,830
1980,806,780
1981,795,771
1982,687,667
1983,663,645
1984,635,618
1985,559,545
1986,634,619
1987,561,549
1988,621,608
1989,707,693
1990,940,923
1991,1074,1056
1992,1139,1120
1993,1133,1115
1994,1305,1285
1995,1747,1722
1996,2159,2130
1997,2577,2544
1998,3217,3178
1999,4236,4188
2000,4998,4945
2001,5410,5355
2002,5525,5471
2003,5596,5544
2004,5419,5371
2005,5254,5209
2006,4864,4825
2007,4305,4272
2008,3632,3606
2009,3762,3736
2010,3701,3677
2011,3729,3706
2012,3551,3530
2013,3412,3393
2014,3729,3709
2015,3333,3316
2016,3078,3063
2017,2631,2618
2018,2460,2449
2019,2253,2243
2020,1964,1956
