YOB,Born,Alive
1900,2495,0
1901,2071,0
1902,2326,1
1903,2365,1
1904,2657,1
1905,2887,2
1906,3026,2
1907,3299,3
1908,3593,3
1909,3780,4
1910,4448,5
1911,4966,40
1912,6679,101
1913,7694,170
1914,9677,282
1915,12787,463
1916,13746,594
1917,14364,721
1918,16130,923
1919,15104,970
1920,15881,1131
1921,15996,1638
1922,15056,2010
1923,14871,2448
1924,15190,2974
1925,13817,3135
1926,13357,3446
1927,12993,3757
1928,12133,3886
1929,11090,3897
1930,10639,4070
1931,9717,4000
1932,9552,4210
1933,8880,4173
1934,9209,4595
1935,8768,4630
1936,8781,4893
1937,9056,5310
1938,8919,5489
1939,8577,5528
1940,8616,5804
1941,8469,5852
1942,9470,6707
1943,9441,6850
1944,8484,6302
1945,7940,6035
1946,8454,6572
1947,8939,7104
1948,8178,6640
1949,7439,6169
1950,6976,5906
1951,6576,5614
1952,6077,5231
1953,5778,5015
1954,5163,4518
1955,4637,4091
1956,4324,3845
1957,4092,3668
1958,3847,3476
1959,3713,3381
1960,3590,3295
1961,3419,3150
1962,2996,2771
1963,2746,2549
1964,2600,2423
1965,2262,2116
1966,2122,1992
1967,1868,1760
1968,1742,1648
1969,1643,1560
1970,1628,1551
1971,1452,1387
1972,1280,1225
1973,1155,1108
1974,1066,1025
1975,1031,994
1976,948,916
1977,940,910
1978,926,898
1979,912,887
1980,938,914
1981,924,902
1982,904,883
1983,875,855
1984,855,837
1985,834,817
1986,765,750
1987,805,790
1988,806,792
1989,781,768
1990,759,748
1991,711,701
1992,667,658
1993,641,633
1994,606,598
1995,569,562
1996,544,538
1997,530,524
1998,547,542
1999,485,481
2000,453,449
2001,428,424
2002,413,410
2003,448,445
2004,427,424
2005,355,352
2006,359,357
2007,347,345
2008,368,366
2009,354,352
2010,356,354
2011,348,346
2012,362,360
2013,401,399
