YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,5,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,0,0
1914,7,0
1915,9,0
1916,9,0
1917,0,0
1918,0,0
1919,0,0
1920,7,0
1921,8,0
1922,5,0
1923,6,0
1924,8,1
1925,9,1
1926,8,1
1927,5,1
1928,9,1
1929,8,1
1930,9,2
1931,7,2
1932,9,2
1933,5,1
1934,5,2
1935,9,3
1936,7,3
1937,10,4
1938,10,5
1939,19,10
1940,18,10
1941,20,11
1942,19,11
1943,19,12
1944,21,13
1945,20,13
1946,27,18
1947,20,14
1948,20,15
1949,13,10
1950,22,17
1951,12,9
1952,16,13
1953,16,13
1954,12,10
1955,16,13
1956,18,15
1957,11,9
1958,20,17
1959,13,11
1960,14,12
1961,16,14
1962,18,16
1963,18,16
1964,19,17
1965,20,18
1966,9,8
1967,14,13
1968,9,8
1969,15,14
1970,14,13
1971,21,20
1972,20,19
1973,23,22
1974,15,14
1975,16,15
1976,14,13
1977,17,16
1978,12,12
1979,17,16
1980,17,16
1981,15,15
1982,10,10
1983,14,14
1984,27,26
1985,16,16
1986,18,18
1987,19,19
1988,21,21
1989,19,19
1990,19,19
1991,31,30
1992,24,24
1993,13,13
1994,24,24
1995,17,17
1996,18,18
1997,17,17
1998,22,22
1999,15,15
2000,15,15
2001,7,7
2002,10,10
2003,8,8
2004,7,7
2005,9,9
2006,6,6
2007,5,5
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
