YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,5,0
1918,0,0
1919,0,0
1920,0,0
1921,6,0
1922,8,0
1923,6,0
1924,8,1
1925,11,1
1926,18,2
1927,15,2
1928,14,2
1929,10,2
1930,17,3
1931,13,3
1932,14,4
1933,20,6
1934,18,6
1935,16,6
1936,26,10
1937,19,8
1938,27,13
1939,37,19
1940,35,19
1941,38,21
1942,43,25
1943,54,33
1944,47,30
1945,51,33
1946,55,37
1947,67,47
1948,67,49
1949,58,44
1950,55,43
1951,67,53
1952,52,41
1953,78,63
1954,54,44
1955,55,46
1956,57,48
1957,63,54
1958,43,37
1959,36,32
1960,36,32
1961,39,35
1962,31,28
1963,24,22
1964,34,31
1965,23,21
1966,19,17
1967,16,15
1968,21,20
1969,18,17
1970,23,22
1971,13,12
1972,5,5
1973,8,8
1974,8,8
1975,6,6
1976,5,5
1977,0,0
1978,6,6
1979,0,0
1980,0,0
1981,0,0
1982,5,5
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
