YOB,Born,Alive
1900,117,0
1901,109,0
1902,140,0
1903,85,0
1904,106,0
1905,115,0
1906,110,0
1907,124,0
1908,108,0
1909,101,0
1910,131,0
1911,120,1
1912,133,2
1913,148,3
1914,175,5
1915,206,7
1916,192,8
1917,202,10
1918,220,13
1919,217,14
1920,181,13
1921,190,19
1922,178,24
1923,148,24
1924,147,29
1925,177,40
1926,147,38
1927,127,37
1928,134,43
1929,122,43
1930,147,56
1931,134,55
1932,117,52
1933,106,50
1934,108,54
1935,115,61
1936,96,53
1937,79,46
1938,95,58
1939,85,55
1940,102,69
1941,76,53
1942,78,55
1943,73,53
1944,58,43
1945,74,56
1946,64,50
1947,59,47
1948,54,44
1949,34,28
1950,40,34
1951,44,38
1952,41,35
1953,34,30
1954,39,34
1955,36,32
1956,24,21
1957,29,26
1958,15,14
1959,19,17
1960,28,26
1961,15,14
1962,8,7
1963,11,10
1964,15,14
1965,13,12
1966,7,7
1967,7,7
1968,6,6
1969,0,0
1970,0,0
1971,7,7
1972,5,5
1973,5,5
1974,7,7
1975,0,0
1976,0,0
1977,0,0
1978,5,5
1979,0,0
1980,0,0
1981,0,0
1982,5,5
1983,0,0
1984,5,5
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,7,7
2011,0,0
2012,5,5
