YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,7,0
1906,5,0
1907,0,0
1908,6,0
1909,0,0
1910,0,0
1911,10,0
1912,12,0
1913,10,0
1914,14,0
1915,18,0
1916,16,0
1917,22,0
1918,20,0
1919,21,0
1920,19,0
1921,21,1
1922,19,1
1923,20,1
1924,28,2
1925,32,3
1926,41,5
1927,39,5
1928,48,7
1929,48,8
1930,47,9
1931,36,8
1932,31,8
1933,21,6
1934,11,4
1935,18,7
1936,19,8
1937,13,6
1938,15,7
1939,18,9
1940,16,9
1941,12,7
1942,7,4
1943,11,7
1944,9,6
1945,18,12
1946,9,6
1947,15,11
1948,12,9
1949,12,9
1950,8,6
1951,15,12
1952,16,13
1953,11,9
1954,12,10
1955,17,14
1956,8,7
1957,9,8
1958,7,6
1959,6,5
1960,12,11
1961,12,11
1962,16,14
1963,6,5
1964,10,9
1965,12,11
1966,9,8
1967,9,8
1968,0,0
1969,5,5
1970,6,6
1971,11,10
1972,5,5
1973,9,9
1974,7,7
1975,0,0
1976,0,0
1977,7,7
1978,5,5
1979,6,6
1980,5,5
1981,5,5
1982,5,5
1983,0,0
1984,0,0
1985,0,0
1986,5,5
1987,5,5
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
