YOB,Born,Alive
1900,132,0
1901,117,0
1902,115,0
1903,107,0
1904,113,0
1905,90,0
1906,88,0
1907,96,0
1908,90,0
1909,89,0
1910,107,0
1911,94,0
1912,106,0
1913,112,0
1914,138,1
1915,153,1
1916,170,1
1917,146,1
1918,164,1
1919,145,1
1920,138,1
1921,149,4
1922,152,7
1923,133,8
1924,109,9
1925,132,13
1926,114,13
1927,115,16
1928,97,15
1929,89,15
1930,65,12
1931,69,15
1932,68,18
1933,50,15
1934,68,22
1935,67,24
1936,67,27
1937,53,23
1938,47,22
1939,47,24
1940,51,27
1941,66,37
1942,58,34
1943,44,27
1944,34,22
1945,28,18
1946,41,28
1947,53,37
1948,37,27
1949,37,28
1950,37,29
1951,31,24
1952,35,28
1953,29,23
1954,17,14
1955,31,26
1956,29,24
1957,19,16
1958,12,10
1959,22,19
1960,22,20
1961,12,11
1962,12,11
1963,18,16
1964,16,15
1965,9,8
1966,18,17
1967,11,10
1968,7,7
1969,15,14
1970,7,7
1971,11,10
1972,13,12
1973,5,5
1974,10,10
1975,11,10
1976,5,5
1977,0,0
1978,0,0
1979,7,7
1980,8,8
1981,6,6
1982,9,9
1983,5,5
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,6,6
1989,0,0
1990,0,0
1991,5,5
1992,0,0
1993,0,0
1994,6,6
1995,0,0
1996,0,0
1997,5,5
1998,0,0
1999,5,5
2000,0,0
2001,6,6
2002,6,6
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,5,5
2017,0,0
2018,0,0
2019,5,5
2020,0,0
