YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,6,6
1974,7,7
1975,7,7
1976,0,0
1977,6,6
1978,0,0
1979,13,13
1980,10,10
1981,11,11
1982,13,13
1983,14,14
1984,15,15
1985,11,11
1986,16,16
1987,15,15
1988,17,17
1989,19,19
1990,18,18
1991,20,20
1992,19,19
1993,18,18
1994,22,22
1995,22,22
1996,17,17
1997,22,22
1998,14,14
1999,14,14
2000,14,14
2001,17,17
2002,12,12
2003,28,28
2004,22,22
2005,15,15
2006,15,15
2007,12,12
2008,13,13
2009,14,14
2010,14,14
2011,17,17
2012,8,8
