YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,6,6
1976,7,7
1977,0,0
1978,10,10
1979,7,7
1980,7,7
1981,11,11
1982,10,10
1983,10,10
1984,8,8
1985,0,0
1986,11,11
1987,8,8
1988,9,9
1989,20,20
1990,21,21
1991,27,27
1992,24,24
1993,29,29
1994,42,41
1995,36,35
1996,48,47
1997,49,48
1998,54,53
1999,56,55
2000,64,63
2001,53,52
2002,68,67
2003,56,55
2004,52,52
2005,70,69
2006,58,58
2007,74,73
2008,86,85
2009,61,61
2010,43,43
2011,43,43
2012,51,51
2013,46,46
2014,48,48
2015,37,37
2016,27,27
2017,23,23
2018,30,30
2019,28,28
2020,20,20
