YOB,Born,Alive
1900,41,0
1901,30,0
1902,30,0
1903,28,0
1904,27,0
1905,35,0
1906,37,0
1907,45,0
1908,32,0
1909,52,0
1910,63,0
1911,69,0
1912,81,0
1913,95,0
1914,107,0
1915,155,1
1916,166,1
1917,182,1
1918,212,2
1919,192,2
1920,249,2
1921,231,6
1922,239,11
1923,280,18
1924,274,22
1925,365,36
1926,358,42
1927,390,53
1928,427,66
1929,397,68
1930,419,79
1931,345,77
1932,320,83
1933,299,88
1934,262,86
1935,238,87
1936,229,91
1937,251,109
1938,275,129
1939,268,135
1940,259,139
1941,255,143
1942,281,165
1943,272,166
1944,237,150
1945,247,162
1946,250,170
1947,257,181
1948,251,183
1949,257,193
1950,252,195
1951,256,201
1952,258,206
1953,236,191
1954,225,185
1955,245,204
1956,251,212
1957,278,238
1958,253,219
1959,294,258
1960,290,258
1961,285,255
1962,262,235
1963,311,281
1964,317,288
1965,303,277
1966,298,274
1967,311,288
1968,312,290
1969,330,309
1970,353,332
1971,302,285
1972,300,284
1973,316,300
1974,251,239
1975,254,242
1976,252,241
1977,273,262
1978,269,259
1979,261,252
1980,271,262
1981,272,264
1982,317,308
1983,282,274
1984,238,232
1985,287,280
1986,273,267
1987,246,241
1988,244,239
1989,176,173
1990,115,113
1991,95,93
1992,70,69
1993,75,74
1994,67,66
1995,57,56
1996,62,61
1997,42,41
1998,45,44
1999,40,40
2000,40,40
2001,42,42
2002,31,31
2003,34,34
2004,95,94
2005,26,26
2006,46,46
2007,33,33
2008,32,32
2009,51,51
2010,29,29
2011,30,30
2012,28,28
2013,28,28
2014,42,42
2015,39,39
2016,67,67
2017,77,77
2018,45,45
2019,68,68
2020,63,63
