YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,5,0
1915,0,0
1916,7,0
1917,6,0
1918,9,1
1919,8,1
1920,18,1
1921,16,2
1922,9,1
1923,12,2
1924,16,3
1925,23,5
1926,92,24
1927,48,14
1928,27,9
1929,35,12
1930,30,11
1931,26,11
1932,48,21
1933,47,22
1934,60,30
1935,70,37
1936,88,49
1937,74,43
1938,79,49
1939,79,51
1940,83,56
1941,77,53
1942,78,55
1943,103,75
1944,93,69
1945,80,61
1946,112,87
1947,140,111
1948,97,79
1949,168,139
1950,158,134
1951,147,125
1952,179,154
1953,199,173
1954,264,231
1955,199,176
1956,215,191
1957,239,214
1958,216,195
1959,218,199
1960,234,215
1961,274,252
1962,282,261
1963,213,198
1964,259,241
1965,286,267
1966,233,219
1967,236,222
1968,261,247
1969,259,246
1970,274,261
1971,280,267
1972,223,213
1973,258,248
1974,209,201
1975,298,287
1976,293,283
1977,267,258
1978,334,324
1979,416,405
1980,340,331
1981,330,322
1982,308,301
1983,286,280
1984,288,282
1985,260,255
1986,243,238
1987,244,240
1988,241,237
1989,215,212
1990,227,224
1991,202,199
1992,216,213
1993,185,183
1994,191,189
1995,147,145
1996,145,143
1997,147,145
1998,149,148
1999,123,122
2000,126,125
2001,102,101
2002,111,110
2003,93,92
2004,120,119
2005,85,84
2006,117,116
2007,119,118
2008,123,122
2009,131,130
2010,96,95
2011,88,88
2012,77,77
2013,59,59
