YOB,Born,Alive
1900,0,0
1901,0,0
1902,5,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,7,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,6,0
1914,11,0
1915,7,0
1916,12,0
1917,13,0
1918,17,0
1919,23,0
1920,21,0
1921,17,0
1922,21,1
1923,21,1
1924,22,2
1925,18,2
1926,14,2
1927,23,3
1928,26,4
1929,14,2
1930,19,4
1931,16,4
1932,18,5
1933,27,8
1934,33,11
1935,43,16
1936,35,14
1937,26,11
1938,43,20
1939,35,18
1940,34,18
1941,33,19
1942,48,28
1943,50,30
1944,33,21
1945,34,22
1946,34,23
1947,36,25
1948,34,25
1949,45,34
1950,39,30
1951,61,48
1952,51,41
1953,65,53
1954,70,57
1955,61,51
1956,51,43
1957,68,58
1958,68,59
1959,39,34
1960,65,58
1961,51,46
1962,52,47
1963,54,49
1964,51,46
1965,43,39
1966,44,40
1967,61,56
1968,43,40
1969,44,41
1970,43,40
1971,45,42
1972,38,36
1973,43,41
1974,31,29
1975,42,40
1976,50,48
1977,41,39
1978,49,47
1979,52,50
1980,47,45
1981,34,33
1982,40,39
1983,32,31
1984,31,30
1985,39,38
1986,43,42
1987,30,29
1988,39,38
1989,30,29
1990,35,34
1991,32,31
1992,38,37
1993,27,27
1994,20,20
1995,21,21
1996,22,22
1997,5,5
1998,14,14
1999,12,12
2000,16,16
2001,16,16
2002,17,17
2003,10,10
2004,12,12
2005,14,14
2006,8,8
2007,14,14
2008,12,12
2009,8,8
2010,7,7
2011,10,10
2012,16,16
2013,7,7
2014,9,9
2015,6,6
2016,8,8
2017,10,10
2018,0,0
2019,7,7
2020,0,0
