YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,7,0
1914,0,0
1915,0,0
1916,0,0
1917,5,0
1918,5,0
1919,0,0
1920,0,0
1921,6,1
1922,0,0
1923,8,1
1924,0,0
1925,8,2
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,6,4
1944,0,0
1945,5,4
1946,5,4
1947,0,0
1948,0,0
1949,8,7
1950,6,5
1951,8,7
1952,5,4
1953,0,0
1954,5,4
1955,6,5
1956,5,4
1957,5,4
1958,9,8
1959,5,5
1960,14,13
1961,10,9
1962,8,7
1963,5,5
1964,0,0
1965,11,10
1966,0,0
1967,7,7
1968,8,8
1969,0,0
1970,9,9
1971,13,12
1972,14,13
1973,20,19
1974,16,15
1975,17,16
1976,13,13
1977,11,11
1978,15,15
1979,19,18
1980,8,8
1981,20,20
1982,20,20
1983,12,12
1984,14,14
1985,17,17
1986,18,18
1987,19,19
1988,16,16
1989,7,7
1990,17,17
1991,9,9
1992,19,19
1993,9,9
1994,5,5
1995,0,0
1996,10,10
1997,0,0
1998,5,5
1999,0,0
2000,0,0
2001,5,5
2002,0,0
2003,7,7
2004,0,0
2005,6,6
