YOB,Born,Alive
1900,0,0
1901,0,0
1902,5,0
1903,0,0
1904,7,0
1905,0,0
1906,5,0
1907,0,0
1908,0,0
1909,5,0
1910,9,0
1911,0,0
1912,12,0
1913,7,0
1914,14,0
1915,7,0
1916,11,0
1917,14,1
1918,21,1
1919,19,1
1920,23,2
1921,31,3
1922,20,3
1923,32,5
1924,25,5
1925,25,6
1926,26,7
1927,26,8
1928,24,8
1929,29,10
1930,34,13
1931,20,8
1932,21,9
1933,21,10
1934,23,11
1935,13,7
1936,11,6
1937,20,12
1938,13,8
1939,18,12
1940,13,9
1941,19,13
1942,11,8
1943,30,22
1944,22,16
1945,25,19
1946,27,21
1947,27,21
1948,27,22
1949,34,28
1950,20,17
1951,24,20
1952,23,20
1953,20,17
1954,12,11
1955,12,11
1956,20,18
1957,20,18
1958,23,21
1959,12,11
1960,17,16
1961,15,14
1962,25,23
1963,18,17
1964,15,14
1965,20,19
1966,13,12
1967,15,14
1968,13,12
1969,16,15
1970,7,7
1971,19,18
1972,16,15
1973,9,9
1974,18,17
1975,11,11
1976,16,15
1977,0,0
1978,8,8
1979,17,17
1980,16,16
1981,16,16
1982,12,12
1983,18,18
1984,9,9
1985,10,10
1986,11,11
1987,9,9
1988,8,8
1989,5,5
1990,10,10
1991,11,11
1992,6,6
1993,0,0
1994,0,0
1995,5,5
1996,0,0
1997,0,0
1998,5,5
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,5,5
2005,5,5
2006,0,0
2007,0,0
2008,5,5
