YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,5,1
1928,6,1
1929,0,0
1930,0,0
1931,6,1
1932,6,2
1933,13,4
1934,7,2
1935,13,5
1936,9,4
1937,7,3
1938,5,2
1939,8,4
1940,6,3
1941,10,6
1942,11,6
1943,11,7
1944,5,3
1945,11,7
1946,7,5
1947,11,8
1948,17,12
1949,11,8
1950,17,13
1951,16,13
1952,15,12
1953,13,11
1954,12,10
1955,12,10
1956,24,20
1957,13,11
1958,13,11
1959,13,11
1960,12,11
1961,18,16
1962,11,10
1963,16,14
1964,11,10
1965,18,16
1966,13,12
1967,12,11
1968,10,9
1969,11,10
1970,15,14
1971,6,6
1972,12,11
1973,12,11
1974,34,32
1975,37,35
1976,21,20
1977,33,32
1978,26,25
1979,22,21
1980,15,15
1981,22,21
1982,34,33
1983,27,26
1984,16,16
1985,12,12
1986,15,15
1987,27,26
1988,18,18
1989,17,17
1990,11,11
1991,9,9
1992,10,10
1993,17,17
1994,9,9
1995,8,8
1996,10,10
1997,17,17
1998,6,6
1999,6,6
2000,12,12
2001,14,14
2002,0,0
2003,6,6
2004,7,7
2005,13,13
2006,11,11
2007,0,0
2008,6,6
2009,9,9
2010,11,11
2011,0,0
2012,8,8
2013,10,10
2014,8,8
2015,8,8
2016,8,8
2017,8,8
2018,0,0
2019,10,10
2020,9,9
