YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,6,0
1920,5,0
1921,0,0
1922,0,0
1923,5,1
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,5,1
1929,0,0
1930,6,2
1931,7,2
1932,6,2
1933,8,3
1934,11,5
1935,7,3
1936,10,5
1937,13,7
1938,12,7
1939,12,7
1940,11,7
1941,20,13
1942,23,15
1943,25,17
1944,31,21
1945,31,22
1946,30,22
1947,42,32
1948,53,41
1949,46,37
1950,45,37
1951,44,36
1952,42,35
1953,53,45
1954,37,31
1955,52,45
1956,46,40
1957,49,43
1958,45,40
1959,51,46
1960,106,96
1961,489,445
1962,259,237
1963,617,566
1964,358,330
1965,226,209
1966,211,196
1967,205,192
1968,221,207
1969,214,202
1970,223,211
1971,188,178
1972,192,183
1973,149,142
1974,171,164
1975,167,160
1976,144,138
1977,179,173
1978,136,131
1979,162,157
1980,163,158
1981,176,171
1982,159,155
1983,162,158
1984,147,144
1985,149,146
1986,181,177
1987,159,156
1988,190,186
1989,180,177
1990,153,150
1991,156,154
1992,135,133
1993,160,158
1994,150,148
1995,144,142
1996,148,146
1997,157,155
1998,145,143
1999,120,119
2000,122,121
2001,120,119
2002,115,114
2003,94,93
2004,80,79
2005,86,85
2006,93,92
2007,69,69
2008,61,61
2009,55,55
2010,55,55
2011,56,56
2012,46,46
2013,36,36
2014,35,35
2015,40,40
2016,27,27
2017,34,34
