YOB,Born,Alive
1900,6,0
1901,0,0
1902,0,0
1903,5,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5,0
1914,9,0
1915,7,0
1916,9,0
1917,13,0
1918,10,0
1919,12,0
1920,0,0
1921,12,0
1922,15,1
1923,13,1
1924,13,1
1925,14,1
1926,14,2
1927,15,2
1928,7,1
1929,18,3
1930,18,3
1931,24,5
1932,22,6
1933,18,5
1934,36,12
1935,27,10
1936,41,16
1937,44,19
1938,44,21
1939,40,20
1940,53,29
1941,72,40
1942,75,44
1943,58,35
1944,58,37
1945,42,28
1946,72,49
1947,68,48
1948,94,68
1949,98,74
1950,93,72
1951,90,71
1952,105,84
1953,102,83
1954,102,84
1955,121,101
1956,125,105
1957,123,105
1958,131,113
1959,120,105
1960,134,119
1961,163,146
1962,152,137
1963,143,129
1964,142,129
1965,144,132
1966,130,120
1967,124,115
1968,127,118
1969,120,112
1970,155,146
1971,103,97
1972,82,78
1973,62,59
1974,77,73
1975,57,54
1976,44,42
1977,49,47
1978,61,59
1979,61,59
1980,66,64
1981,63,61
1982,75,73
1983,84,82
1984,85,83
1985,118,115
1986,87,85
1987,114,111
1988,109,107
1989,106,104
1990,94,92
1991,107,105
1992,105,103
1993,68,67
1994,86,85
1995,66,65
1996,73,72
1997,92,91
1998,123,122
1999,100,99
2000,114,113
2001,105,104
2002,92,91
2003,94,93
2004,61,60
2005,54,54
2006,65,64
2007,72,71
2008,62,62
2009,74,73
2010,48,48
2011,45,45
2012,47,47
2013,28,28
2014,42,42
2015,25,25
2016,28,28
2017,29,29
2018,20,20
2019,22,22
2020,11,11
