YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,5,3
1939,6,4
1940,18,12
1941,50,35
1942,191,135
1943,85,62
1944,55,41
1945,59,45
1946,28,22
1947,27,21
1948,23,19
1949,22,18
1950,11,9
1951,8,7
1952,6,5
1953,17,15
1954,7,6
1955,9,8
1956,7,6
1957,9,8
1958,6,5
1959,12,11
1960,9,8
1961,11,10
1962,11,10
1963,19,18
1964,12,11
1965,11,10
1966,18,17
1967,22,21
1968,18,17
1969,11,10
1970,13,12
1971,11,11
1972,8,8
1973,7,7
1974,9,9
1975,8,8
1976,7,7
1977,0,0
1978,0,0
1979,0,0
1980,8,8
1981,5,5
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,5,5
