YOB,Born,Alive
1900,8,0
1901,5,0
1902,0,0
1903,8,0
1904,11,0
1905,11,0
1906,16,0
1907,14,0
1908,13,0
1909,12,0
1910,11,0
1911,11,0
1912,28,0
1913,12,0
1914,34,0
1915,36,0
1916,42,0
1917,47,0
1918,56,0
1919,27,0
1920,42,0
1921,42,1
1922,50,2
1923,48,3
1924,58,5
1925,49,5
1926,62,7
1927,57,8
1928,78,12
1929,79,14
1930,100,19
1931,154,35
1932,303,79
1933,453,133
1934,588,193
1935,1097,399
1936,1718,685
1937,2233,968
1938,4507,2111
1939,5542,2789
1940,7283,3920
1941,10830,6085
1942,15385,9010
1943,16816,10246
1944,15945,10094
1945,15678,10296
1946,19647,13369
1947,21648,15244
1948,21996,16011
1949,22468,16887
1950,24136,18713
1951,27999,22024
1952,28955,23103
1953,29858,24161
1954,32455,26629
1955,33225,27636
1956,40051,33766
1957,40587,34677
1958,38465,33298
1959,36773,32249
1960,36379,32314
1961,34701,31003
1962,35183,31616
1963,32486,29361
1964,30247,27494
1965,32873,30051
1966,25447,23395
1967,21541,19915
1968,19559,18184
1969,17637,16489
1970,16700,15699
1971,14210,13398
1972,11181,10573
1973,9355,8873
1974,8650,8228
1975,8167,7792
1976,7506,7182
1977,7442,7142
1978,6372,6133
1979,5600,5405
1980,5055,4893
1981,4538,4399
1982,4156,4035
1983,3788,3683
1984,3537,3444
1985,3139,3061
1986,2801,2735
1987,2580,2523
1988,2567,2514
1989,2758,2705
1990,2717,2668
1991,2599,2554
1992,2764,2718
1993,2808,2764
1994,2487,2450
1995,2269,2237
1996,2401,2368
1997,2223,2194
1998,2073,2048
1999,2172,2147
2000,2173,2150
2001,2194,2172
2002,2223,2201
2003,2331,2309
2004,2165,2146
2005,2064,2046
2006,2029,2013
2007,2172,2155
2008,1816,1803
2009,1433,1423
2010,1287,1279
2011,1104,1097
2012,896,891
2013,730,726
2014,631,628
2015,626,623
2016,616,613
2017,552,549
2018,469,467
2019,439,437
2020,325,324
