YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,9,8
1954,5,4
1955,6,5
1956,16,14
1957,22,19
1958,47,42
1959,57,51
1960,73,66
1961,99,90
1962,100,91
1963,108,99
1964,118,109
1965,85,79
1966,96,89
1967,123,115
1968,159,149
1969,177,167
1970,156,148
1971,198,188
1972,161,153
1973,184,176
1974,146,140
1975,186,178
1976,202,194
1977,197,190
1978,137,132
1979,125,121
1980,108,105
1981,122,119
1982,136,132
1983,102,99
1984,86,84
1985,97,95
1986,69,68
1987,63,62
1988,61,60
1989,66,65
1990,62,61
1991,59,58
1992,47,46
1993,36,35
1994,26,26
1995,22,22
1996,31,31
1997,23,23
1998,15,15
1999,24,24
2000,8,8
2001,15,15
2002,12,12
2003,12,12
2004,10,10
2005,14,14
2006,12,12
2007,9,9
2008,10,10
2009,7,7
2010,8,8
2011,6,6
2012,0,0
2013,6,6
2014,10,10
2015,8,8
2016,6,6
2017,8,8
