YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,5,5
1967,6,6
1968,0,0
1969,8,7
1970,12,11
1971,20,19
1972,11,10
1973,7,7
1974,7,7
1975,12,11
1976,14,13
1977,12,12
1978,12,12
1979,9,9
1980,12,12
1981,16,16
1982,36,35
1983,18,18
1984,22,21
1985,39,38
1986,31,30
1987,33,32
1988,56,55
1989,59,58
1990,69,68
1991,51,50
1992,38,37
1993,44,43
1994,32,32
1995,23,23
1996,26,26
1997,21,21
1998,15,15
1999,14,14
2000,9,9
2001,14,14
2002,15,15
2003,10,10
2004,5,5
2005,6,6
2006,10,10
2007,0,0
2008,5,5
2009,0,0
2010,0,0
2011,5,5
2012,5,5
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
