YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,9,0
1918,0,0
1919,6,0
1920,6,0
1921,6,0
1922,8,1
1923,0,0
1924,5,1
1925,8,1
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,5,2
1933,5,2
1934,6,2
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,5,3
1941,8,5
1942,0,0
1943,5,3
1944,7,5
1945,7,5
1946,6,4
1947,9,7
1948,8,6
1949,7,6
1950,12,10
1951,12,10
1952,7,6
1953,7,6
1954,6,5
1955,6,5
1956,8,7
1957,12,11
1958,5,4
1959,5,4
1960,5,5
1961,0,0
1962,7,6
1963,6,6
1964,9,8
1965,0,0
1966,5,5
1967,5,5
1968,9,8
1969,0,0
1970,0,0
1971,7,7
1972,0,0
1973,6,6
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,5,5
1979,5,5
1980,0,0
1981,6,6
1982,5,5
1983,9,9
1984,10,10
1985,8,8
1986,0,0
1987,8,8
1988,0,0
1989,7,7
1990,5,5
1991,5,5
1992,5,5
1993,7,7
1994,0,0
1995,0,0
1996,6,6
1997,5,5
1998,0,0
1999,0,0
2000,0,0
2001,6,6
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
