YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,5,4
1952,5,4
1953,0,0
1954,6,5
1955,11,9
1956,14,12
1957,32,27
1958,34,29
1959,56,49
1960,69,61
1961,67,60
1962,81,73
1963,97,88
1964,85,77
1965,68,62
1966,97,89
1967,83,77
1968,112,104
1969,105,98
1970,105,99
1971,78,74
1972,60,57
1973,69,65
1974,71,68
1975,72,69
1976,82,78
1977,135,130
1978,201,193
1979,179,173
1980,154,149
1981,115,111
1982,91,88
1983,107,104
1984,69,67
1985,89,87
1986,75,73
1987,71,69
1988,72,71
1989,75,74
1990,63,62
1991,63,62
1992,61,60
1993,72,71
1994,55,54
1995,36,35
1996,39,38
1997,33,33
1998,40,40
1999,25,25
2000,26,26
2001,22,22
2002,24,24
2003,13,13
2004,21,21
2005,18,18
2006,11,11
2007,13,13
2008,14,14
2009,9,9
2010,8,8
2011,10,10
2012,8,8
2013,8,8
2014,9,9
2015,5,5
2016,0,0
2017,6,6
2018,0,0
2019,0,0
2020,0,0
