YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,5,5
1964,0,0
1965,5,5
1966,0,0
1967,5,5
1968,0,0
1969,9,8
1970,9,8
1971,6,6
1972,0,0
1973,7,7
1974,0,0
1975,7,7
1976,6,6
1977,0,0
1978,5,5
1979,6,6
1980,10,10
1981,10,10
1982,10,10
1983,8,8
1984,10,10
1985,13,13
1986,7,7
1987,19,19
1988,14,14
1989,16,16
1990,15,15
1991,13,13
1992,14,14
1993,17,17
1994,18,18
1995,11,11
1996,12,12
1997,5,5
1998,12,12
1999,11,11
2000,12,12
2001,7,7
2002,10,10
2003,13,13
2004,9,9
2005,12,12
2006,5,5
2007,0,0
2008,6,6
2009,5,5
2010,6,6
2011,5,5
2012,0,0
2013,8,8
2014,6,6
2015,5,5
2016,0,0
2017,8,8
2018,7,7
2019,0,0
2020,0,0
