YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,5,1
1926,6,1
1927,6,1
1928,8,2
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,6,3
1938,8,4
1939,0,0
1940,10,6
1941,9,6
1942,12,8
1943,14,9
1944,25,17
1945,27,19
1946,24,18
1947,32,24
1948,25,19
1949,21,17
1950,28,23
1951,35,29
1952,35,29
1953,27,23
1954,39,33
1955,46,40
1956,50,43
1957,60,53
1958,44,39
1959,37,33
1960,38,34
1961,34,31
1962,33,30
1963,35,32
1964,26,24
1965,15,14
1966,15,14
1967,14,13
1968,10,9
1969,9,8
1970,13,12
1971,15,14
1972,11,10
1973,15,14
1974,10,10
1975,5,5
1976,8,8
1977,11,11
1978,5,5
1979,11,11
1980,15,15
1981,9,9
1982,11,11
1983,10,10
1984,7,7
1985,0,0
1986,0,0
1987,9,9
1988,5,5
1989,0,0
1990,5,5
1991,0,0
1992,5,5
1993,7,7
1994,0,0
1995,0,0
1996,0,0
1997,6,6
1998,0,0
1999,6,6
2000,5,5
2001,5,5
2002,5,5
2003,0,0
2004,7,7
2005,8,8
2006,0,0
2007,6,6
2008,7,7
2009,12,12
2010,13,13
2011,9,9
2012,15,15
2013,13,13
2014,16,16
2015,28,28
2016,31,31
2017,49,49
