YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,7,0
1913,0,0
1914,6,0
1915,9,0
1916,8,0
1917,9,0
1918,0,0
1919,10,1
1920,7,0
1921,10,1
1922,6,1
1923,8,1
1924,9,2
1925,7,2
1926,5,1
1927,5,1
1928,7,2
1929,0,0
1930,0,0
1931,8,3
1932,5,2
1933,5,2
1934,0,0
1935,6,3
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,5,4
1948,8,6
1949,7,6
1950,0,0
1951,0,0
1952,5,4
1953,0,0
1954,6,5
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,5,5
1961,0,0
1962,0,0
1963,6,6
1964,0,0
1965,0,0
1966,7,7
1967,6,6
1968,0,0
1969,6,6
1970,0,0
1971,0,0
1972,0,0
1973,7,7
1974,7,7
1975,0,0
1976,0,0
1977,6,6
1978,5,5
1979,6,6
1980,7,7
1981,7,7
1982,6,6
1983,13,13
1984,10,10
1985,15,15
1986,12,12
1987,9,9
1988,18,18
1989,12,12
1990,19,19
1991,24,24
1992,16,16
1993,21,21
1994,24,24
1995,25,25
1996,24,24
1997,22,22
1998,35,35
1999,35,35
2000,44,44
2001,47,47
2002,54,54
2003,59,59
2004,63,63
2005,69,69
2006,67,67
2007,80,79
2008,88,87
2009,76,76
2010,96,95
2011,103,102
2012,99,98
2013,113,112
