YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,11,10
1962,13,12
1963,17,16
1964,19,18
1965,21,20
1966,21,20
1967,35,33
1968,45,43
1969,53,50
1970,56,53
1971,44,42
1972,48,46
1973,48,46
1974,41,39
1975,34,33
1976,16,15
1977,20,19
1978,16,16
1979,20,19
1980,15,15
1981,12,12
1982,10,10
1983,0,0
1984,7,7
1985,6,6
1986,11,11
1987,6,6
1988,7,7
1989,7,7
1990,8,8
1991,6,6
1992,6,6
1993,0,0
1994,5,5
