YOB,Born,Alive
1900,9,0
1901,9,0
1902,13,0
1903,14,0
1904,9,0
1905,9,0
1906,11,0
1907,13,0
1908,6,0
1909,22,0
1910,22,0
1911,27,0
1912,41,1
1913,42,1
1914,62,2
1915,82,3
1916,90,4
1917,104,5
1918,112,6
1919,120,8
1920,127,9
1921,112,11
1922,111,15
1923,114,19
1924,98,19
1925,111,25
1926,102,26
1927,82,24
1928,101,32
1929,93,33
1930,85,33
1931,91,37
1932,69,30
1933,84,39
1934,74,37
1935,64,34
1936,59,33
1937,44,26
1938,57,35
1939,56,36
1940,42,28
1941,46,32
1942,55,39
1943,49,36
1944,52,39
1945,43,33
1946,31,24
1947,48,38
1948,50,41
1949,38,32
1950,29,25
1951,39,33
1952,41,35
1953,36,31
1954,29,25
1955,30,26
1956,38,34
1957,28,25
1958,30,27
1959,29,26
1960,32,29
1961,30,28
1962,20,18
1963,22,20
1964,21,20
1965,19,18
1966,18,17
1967,16,15
1968,13,12
1969,20,19
1970,28,27
1971,8,8
1972,19,18
1973,11,11
1974,7,7
1975,7,7
1976,13,13
1977,5,5
1978,5,5
1979,0,0
1980,5,5
1981,7,7
1982,6,6
1983,0,0
1984,0,0
1985,7,7
