YOB,Born,Alive
1900,39,0
1901,42,0
1902,37,0
1903,41,0
1904,47,0
1905,53,0
1906,73,0
1907,58,0
1908,91,0
1909,100,0
1910,134,0
1911,136,0
1912,225,0
1913,288,1
1914,379,1
1915,564,3
1916,642,4
1917,762,5
1918,965,7
1919,944,8
1920,1094,11
1921,1163,32
1922,1214,55
1923,1306,83
1924,1383,113
1925,1335,133
1926,1327,156
1927,1333,181
1928,1293,199
1929,1194,205
1930,1096,208
1931,1042,234
1932,927,240
1933,862,254
1934,820,270
1935,785,286
1936,711,284
1937,692,300
1938,638,299
1939,616,310
1940,579,312
1941,565,317
1942,588,344
1943,536,327
1944,517,327
1945,598,393
1946,609,414
1947,603,425
1948,661,481
1949,605,455
1950,604,468
1951,622,489
1952,588,469
1953,536,434
1954,511,419
1955,655,545
1956,592,499
1957,602,514
1958,524,454
1959,538,472
1960,497,441
1961,453,405
1962,410,368
1963,404,365
1964,336,305
1965,291,266
1966,282,259
1967,216,200
1968,219,204
1969,163,152
1970,162,152
1971,153,144
1972,113,107
1973,101,96
1974,86,82
1975,79,75
1976,89,85
1977,81,78
1978,52,50
1979,42,41
1980,31,30
1981,36,35
1982,45,44
1983,27,26
1984,26,25
1985,21,20
1986,15,15
1987,13,13
1988,19,19
1989,19,19
1990,18,18
1991,16,16
1992,15,15
1993,13,13
1994,13,13
1995,6,6
1996,5,5
1997,5,5
1998,8,8
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,5,5
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
