YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,10,0
1913,6,0
1914,0,0
1915,6,0
1916,0,0
1917,0,0
1918,5,0
1919,8,0
1920,5,0
1921,7,0
1922,0,0
1923,6,1
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,5,2
1935,0,0
1936,5,2
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,6,4
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,5,4
1948,5,4
1949,0,0
1950,5,4
1951,5,4
1952,8,7
1953,6,5
1954,9,8
1955,7,6
1956,5,4
1957,6,5
1958,5,4
1959,8,7
1960,6,5
1961,0,0
1962,9,8
1963,14,13
1964,8,7
1965,12,11
1966,6,6
1967,6,6
1968,7,7
1969,9,8
1970,13,12
1971,10,9
1972,8,8
1973,5,5
1974,7,7
1975,7,7
1976,16,15
1977,8,8
1978,7,7
1979,8,8
1980,12,12
1981,8,8
1982,8,8
1983,5,5
1984,6,6
1985,0,0
1986,0,0
1987,7,7
1988,9,9
1989,5,5
1990,0,0
1991,0,0
1992,5,5
1993,11,11
1994,0,0
1995,9,9
1996,13,13
1997,5,5
1998,10,10
1999,0,0
2000,9,9
2001,7,7
2002,10,10
2003,5,5
2004,0,0
2005,0,0
2006,7,7
2007,7,7
2008,0,0
2009,5,5
2010,0,0
2011,0,0
2012,6,6
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,6,6
