YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,5,2
1937,0,0
1938,5,2
1939,6,3
1940,0,0
1941,7,4
1942,8,5
1943,6,4
1944,0,0
1945,6,4
1946,10,7
1947,7,5
1948,8,6
1949,10,8
1950,11,9
1951,27,21
1952,9,7
1953,12,10
1954,14,11
1955,8,7
1956,19,16
1957,13,11
1958,21,18
1959,23,20
1960,30,27
1961,28,25
1962,44,40
1963,39,35
1964,34,31
1965,33,30
1966,41,38
1967,36,33
1968,27,25
1969,19,18
1970,25,24
1971,29,27
1972,11,10
1973,23,22
1974,20,19
1975,23,22
1976,23,22
1977,26,25
1978,21,20
1979,26,25
1980,31,30
1981,43,42
1982,52,50
1983,35,34
1984,45,44
1985,37,36
1986,37,36
1987,52,51
1988,54,53
1989,50,49
1990,88,86
1991,110,108
1992,112,110
1993,145,143
1994,160,158
1995,195,192
1996,330,326
1997,401,396
1998,516,510
1999,672,664
2000,742,734
2001,801,793
2002,717,710
2003,839,831
2004,747,740
2005,783,776
2006,761,755
2007,766,760
2008,699,694
2009,598,594
2010,505,502
2011,404,402
2012,367,365
2013,314,312
2014,276,274
2015,230,229
2016,194,193
2017,197,196
2018,190,189
2019,173,172
2020,165,164
