YOB,Born,Alive
1900,25,0
1901,24,0
1902,20,0
1903,20,0
1904,18,0
1905,25,0
1906,24,0
1907,20,0
1908,21,0
1909,23,0
1910,16,0
1911,24,0
1912,39,0
1913,45,0
1914,43,1
1915,56,1
1916,39,1
1917,62,1
1918,60,1
1919,47,1
1920,56,2
1921,74,4
1922,53,4
1923,60,6
1924,65,9
1925,37,6
1926,46,8
1927,44,9
1928,56,13
1929,41,11
1930,37,11
1931,45,14
1932,22,8
1933,36,14
1934,28,12
1935,30,13
1936,28,13
1937,20,10
1938,39,21
1939,32,19
1940,34,21
1941,24,15
1942,35,23
1943,34,23
1944,30,21
1945,31,22
1946,27,20
1947,34,26
1948,32,25
1949,29,23
1950,27,22
1951,24,20
1952,20,17
1953,23,19
1954,22,19
1955,18,15
1956,17,15
1957,11,10
1958,14,12
1959,9,8
1960,13,12
1961,15,14
1962,12,11
1963,18,17
1964,13,12
1965,11,10
1966,7,7
1967,5,5
1968,11,10
1969,8,8
1970,6,6
1971,0,0
1972,5,5
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,5,5
1982,0,0
1983,0,0
1984,0,0
1985,5,5
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
