YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,6,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,6,0
1914,6,0
1915,9,0
1916,5,0
1917,9,0
1918,7,0
1919,9,1
1920,22,2
1921,15,2
1922,10,1
1923,16,3
1924,7,1
1925,10,2
1926,12,3
1927,16,5
1928,12,4
1929,6,2
1930,10,4
1931,9,4
1932,13,6
1933,15,7
1934,6,3
1935,7,4
1936,11,6
1937,0,0
1938,8,5
1939,0,0
1940,0,0
1941,0,0
1942,9,6
1943,10,7
1944,0,0
1945,6,5
1946,5,4
1947,9,7
1948,12,10
1949,6,5
1950,8,7
1951,6,5
1952,9,8
1953,0,0
1954,7,6
1955,0,0
1956,7,6
1957,6,5
1958,0,0
1959,11,10
1960,0,0
1961,10,9
1962,8,7
1963,8,7
1964,8,7
1965,0,0
1966,6,6
1967,5,5
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,5,5
