YOB,Born,Alive
1900,6,0
1901,8,0
1902,10,0
1903,16,0
1904,11,0
1905,14,0
1906,6,0
1907,9,0
1908,9,0
1909,11,0
1910,15,0
1911,13,0
1912,13,0
1913,22,0
1914,30,0
1915,31,0
1916,39,0
1917,23,0
1918,34,0
1919,39,0
1920,58,1
1921,45,1
1922,33,2
1923,44,3
1924,39,3
1925,47,5
1926,34,4
1927,54,7
1928,55,8
1929,44,8
1930,43,8
1931,37,8
1932,32,8
1933,31,9
1934,32,11
1935,34,12
1936,27,11
1937,32,14
1938,22,10
1939,26,13
1940,21,11
1941,23,13
1942,43,25
1943,29,18
1944,28,18
1945,26,17
1946,36,24
1947,38,27
1948,25,18
1949,36,27
1950,30,23
1951,30,24
1952,32,26
1953,34,28
1954,31,25
1955,26,22
1956,42,35
1957,35,30
1958,27,23
1959,30,26
1960,30,27
1961,35,31
1962,35,31
1963,25,23
1964,29,26
1965,23,21
1966,16,15
1967,22,20
1968,27,25
1969,21,20
1970,28,26
1971,34,32
1972,22,21
1973,25,24
1974,21,20
1975,22,21
1976,22,21
1977,21,20
1978,23,22
1979,24,23
1980,26,25
1981,21,20
1982,23,22
1983,22,21
1984,21,20
1985,21,20
1986,23,22
1987,13,13
1988,19,19
1989,28,27
1990,17,17
1991,21,21
1992,20,20
1993,22,22
1994,11,11
1995,18,18
1996,11,11
1997,15,15
1998,13,13
1999,14,14
2000,20,20
2001,19,19
2002,17,17
2003,20,20
2004,21,21
2005,17,17
2006,21,21
2007,17,17
2008,13,13
2009,21,21
2010,18,18
2011,20,20
2012,15,15
2013,19,19
2014,13,13
2015,20,20
2016,19,19
2017,19,19
2018,21,21
2019,15,15
2020,18,18
