YOB,Born,Alive
1900,6,0
1901,6,0
1902,0,0
1903,0,0
1904,7,0
1905,12,0
1906,5,0
1907,5,0
1908,0,0
1909,5,0
1910,5,0
1911,0,0
1912,0,0
1913,8,0
1914,12,0
1915,12,0
1916,12,0
1917,11,0
1918,17,0
1919,6,0
1920,16,0
1921,6,0
1922,0,0
1923,11,1
1924,14,1
1925,5,0
1926,8,1
1927,6,1
1928,7,1
1929,6,1
1930,9,2
1931,0,0
1932,6,2
1933,0,0
1934,0,0
1935,9,3
1936,7,3
1937,11,5
1938,15,7
1939,12,6
1940,20,11
1941,23,13
1942,24,14
1943,25,15
1944,26,16
1945,29,19
1946,53,36
1947,56,39
1948,64,47
1949,58,44
1950,64,50
1951,83,65
1952,68,54
1953,82,66
1954,81,66
1955,104,87
1956,120,101
1957,123,105
1958,138,119
1959,110,96
1960,116,103
1961,130,116
1962,159,143
1963,165,149
1964,146,133
1965,168,154
1966,127,117
1967,129,119
1968,138,128
1969,165,154
1970,147,138
1971,149,140
1972,100,95
1973,107,101
1974,93,88
1975,102,97
1976,79,76
1977,76,73
1978,67,64
1979,53,51
1980,71,69
1981,53,51
1982,46,45
1983,50,49
1984,27,26
1985,29,28
1986,22,21
1987,23,22
1988,28,27
1989,25,25
1990,21,21
1991,19,19
1992,13,13
1993,17,17
1994,16,16
1995,11,11
1996,13,13
1997,9,9
1998,11,11
1999,5,5
2000,8,8
2001,11,11
2002,13,13
2003,8,8
2004,8,8
2005,5,5
2006,0,0
2007,0,0
2008,0,0
2009,5,5
2010,5,5
2011,5,5
2012,0,0
2013,7,7
2014,0,0
2015,5,5
2016,7,7
2017,6,6
2018,0,0
2019,0,0
2020,0,0
